date,value
1992-09-30,0.0086998466997738
1992-10-31,0.0101342404173174
1992-11-30,0.0093606264489075
1992-12-31,0.0085455690573845
1993-01-31,0.0126700062871525
1993-02-28,0.0144540179159243
1993-03-31,0.0210775417486547
1993-04-30,0.0257898291767814
1993-05-31,0.0227410611878167
1993-06-30,0.0225618134789115
1993-07-31,0.0147069068925326
1993-08-31,0.0094672936038671
1993-09-30,0.008456522687424
1993-10-31,0.0101203730532022
1993-11-30,0.0125006115520742
1993-12-31,0.0134830327082397
1994-01-31,0.0136387730563764
1994-02-28,0.0111413047057516
1994-03-31,0.0128052554808859
1994-04-30,0.0089201798781745
1994-05-31,0.0093461928921602
1994-06-30,0.0080688555210619
1994-07-31,0.0100579144639955
1994-08-31,0.0115771672225887
1994-09-30,0.0138868585401779
1994-10-31,0.0140577439881003
1994-11-30,0.0150597656668892
1994-12-31,0.0182242490435949
1995-01-31,0.0196614996337961
1995-02-28,0.0187075864712301
1995-03-31,0.0224591290179589
1995-04-30,0.0235239427418708
1995-05-31,0.0257118428763946
1995-06-30,0.0257387619882004
1995-07-31,0.0231054305697144
1995-08-31,0.0313101943504482
1995-09-30,0.0343044155572256
1995-10-31,0.0305265027201385
1995-11-30,0.0354930821516708
1995-12-31,0.0346006838959615
1996-01-31,0.0372289646009962
1996-02-29,0.0386340953997921
1996-03-31,0.0451158747333154
1996-04-30,0.0353410953040444
1996-05-31,0.0335800865090694
1996-06-30,0.031987051066084
1996-07-31,0.0403584183485172
1996-08-31,0.0432822121407276
1996-09-30,0.0552727976490036
1996-10-31,0.0613765888288778
1996-11-30,0.0435274094077884
1996-12-31,0.0403682413635109
1997-01-31,0.0344885062195193
1997-02-28,0.0348259000391548
1997-03-31,0.0380802409603206
1997-04-30,0.0329839543475077
1997-05-31,0.0383012056896182
1997-06-30,0.0502778784803065
1997-07-31,0.0469140249098496
1997-08-31,0.0569354366564264
1997-09-30,0.0597664928664026
1997-10-31,0.0452724333676285
1997-11-30,0.036089271016633
1997-12-31,0.0318966687167094
1998-01-31,0.0281006483413953
1998-02-28,0.0282952800609569
1998-03-31,0.0326116017083679
1998-04-30,0.0491296640768213
1998-05-31,0.0479130595053089
1998-06-30,0.0554190859837188
1998-07-31,0.0623387498292728
1998-08-31,0.0654344196738322
1998-09-30,0.0698451880989134
1998-10-31,0.0523412387444904
1998-11-30,0.0460135437366908
1998-12-31,0.045589831382314
1999-01-31,0.0480102319511063
1999-02-28,0.0447516306879411
1999-03-31,0.0539694793956322
1999-04-30,0.063169985195477
1999-05-31,0.0832769608965974
1999-06-30,0.0952843790996524
1999-07-31,0.0565340333698958
1999-08-31,0.047004109495695
1999-09-30,0.0477785744640462
1999-10-31,0.0602045906840557
1999-11-30,0.0453219397515202
1999-12-31,0.041299621544977
2000-01-31,0.0465886240748419
2000-02-29,0.0497715512754877
2000-03-31,0.0704917174560333
2000-04-30,0.0870110506960884
2000-05-31,0.0741572184623499
2000-06-30,0.0931917640978341
2000-07-31,0.0719359084447482
2000-08-31,0.0477733947990726
2000-09-30,0.0467619874955707
2000-10-31,0.0929944604014938
2000-11-30,0.0805267821212874
2000-12-31,0.0946881533333261
2001-01-31,0.1546221497106611
2001-02-28,0.1810200763534633
2001-03-31,0.1966442204511483
2001-04-30,0.2235299156747116
2001-05-31,0.2049420216739204
2001-06-30,0.2062053040328428
2001-07-31,0.1572427378973038
2001-08-31,0.2263978127932311
2001-09-30,0.2121122629078479
2001-10-31,0.2979426677162851
2001-11-30,0.2957114947749578
2001-12-31,0.3249650640490415
2002-01-31,0.1288599879585552
2002-02-28,0.0876883472414841
2002-03-31,0.0856968530554886
2002-04-30,0.0399991791517739
2002-05-31,0.0385773960564787
2002-06-30,0.0280642249085907
2002-07-31,0.0188053845639374
2002-08-31,0.0155303943966943
2002-09-30,0.0123290560200196
2002-10-31,0.0068626928802214
2002-11-30,0.0064429609462359
2002-12-31,0.0056883596421183
2003-01-31,0.0045905127364958
2003-02-28,0.0053768973385736
2003-03-31,0.0038882275814816
2003-04-30,0.0077716707070767
2003-05-31,0.0092127969493246
2003-06-30,0.0137334115760577
2003-07-31,0.0110211420287339
2003-08-31,0.011985026856747
2003-09-30,0.0137441461667071
2003-10-31,0.0148853880883814
2003-11-30,0.0152414460844212
2003-12-31,0.0165447069140304
2004-01-31,0.0125026924172924
2004-02-29,0.0116142984085278
2004-03-31,0.0182357327357295
2004-04-30,0.0162054073558182
2004-05-31,0.0145756686867371
2004-06-30,0.0149039101413832
2004-07-31,0.0140894767913915
2004-08-31,0.0174941332304136
2004-09-30,0.0129961827344854
2004-10-31,0.0143692099204449
