date,payout_ratio
1988-03-09,0.3354631
1988-03-10,0.33321226
1988-03-11,0.33300087
1988-03-12,0.33301827
1988-03-13,0.33301827
1988-03-14,0.33296025
1988-03-15,0.33291987
1988-03-16,0.33127317
1988-03-17,0.33166847
1988-03-18,0.3315897
1988-03-19,0.3316049
1988-03-20,0.3316049
1988-03-21,0.33128116
1988-03-22,0.33132508
1988-03-23,0.33054286
1988-03-24,0.33022428
1988-03-25,0.33002484
1988-03-26,0.33002454
1988-03-27,0.33002454
1988-03-28,0.33009413
1988-03-29,0.33019108
1988-03-30,0.33006144
1988-03-31,0.33008987
1988-04-01,0.33009565
1988-04-02,0.33009565
1988-04-03,0.33009565
1988-04-04,0.3300408
1988-04-05,0.33019382
1988-04-06,0.33013207
1988-04-07,0.3303639
1988-04-08,0.32922187
1988-04-09,0.32922187
1988-04-10,0.32922134
1988-04-11,0.32914102
1988-04-12,0.32848346
1988-04-13,0.3383412
1988-04-14,0.33930036
1988-04-15,0.34006765
1988-04-16,0.3400639
1988-04-17,0.34007928
1988-04-18,0.340508
1988-04-19,0.34027305
1988-04-20,0.34112433
1988-04-21,0.3435268
1988-04-22,0.34299242
1988-04-23,0.34299025
1988-04-24,0.34303692
1988-04-25,0.3447417
1988-04-26,0.3424825
1988-04-27,0.33853218
1988-04-28,0.33716485
1988-04-29,0.3363113
1988-04-30,0.3363097
1988-05-01,0.33630982
1988-05-02,0.33658424
1988-05-03,0.33613238
1988-05-04,0.3354759
1988-05-05,0.33474633
1988-05-06,0.3349111
1988-05-07,0.33491436
1988-05-08,0.3349135
1988-05-09,0.3349497
1988-05-10,0.3354938
1988-05-11,0.33539164
1988-05-12,0.3176914
1988-05-13,0.31890726
1988-05-14,0.31896463
1988-05-15,0.3189568
1988-05-16,0.31893155
1988-05-17,0.31991106
1988-05-18,0.32164773
1988-05-19,0.32142818
1988-05-20,0.32140684
1988-05-21,0.32141724
1988-05-22,0.32141724
1988-05-23,0.3215985
1988-05-24,0.32146075
1988-05-25,0.32138002
1988-05-26,0.32184502
1988-05-27,0.32198918
1988-05-28,0.32198918
1988-05-29,0.32198918
1988-05-30,0.32197374
1988-05-31,0.32209677
1988-06-01,0.32221115
1988-06-02,0.32211015
1988-06-03,0.32227758
1988-06-04,0.32229424
1988-06-05,0.32231894
1988-06-06,0.3224115
1988-06-07,0.32228622
1988-06-08,0.32253873
1988-06-09,0.32975963
1988-06-10,0.3295317
1988-06-11,0.3295317
1988-06-12,0.3295317
1988-06-13,0.32950017
1988-06-14,0.3294293
1988-06-15,0.3293812
1988-06-16,0.32949278
1988-06-17,0.32935664
1988-06-18,0.32937437
1988-06-19,0.32937437
1988-06-20,0.32938805
1988-06-21,0.32929304
1988-06-22,0.3301125
1988-06-23,0.3299727
1988-06-24,0.32997352
1988-06-25,0.3299693
1988-06-26,0.32996827
1988-06-27,0.33002976
1988-06-28,0.32991058
1988-06-29,0.32970706
1988-06-30,0.32968745
1988-07-01,0.32943916
1988-07-02,0.32943928
1988-07-03,0.32943928
1988-07-04,0.32943928
1988-07-05,0.3294292
1988-07-06,0.32921293
1988-07-07,0.32937035
1988-07-08,0.32845932
1988-07-09,0.32847717
1988-07-10,0.32847717
1988-07-11,0.32835603
1988-07-12,0.32852194
1988-07-13,0.32774064
1988-07-14,0.3276425
1988-07-15,0.32560205
1988-07-16,0.32571825
1988-07-17,0.32571697
1988-07-18,0.32481873
1988-07-19,0.3235168
1988-07-20,0.3219805
1988-07-21,0.31534892
1988-07-22,0.3093608
1988-07-23,0.30929503
1988-07-24,0.30929312
1988-07-25,0.30890092
1988-07-26,0.31053925
1988-07-27,0.3112354
1988-07-28,0.30818057
1988-07-29,0.30776197
1988-07-30,0.30776405
1988-07-31,0.3077638
1988-08-01,0.30764106
1988-08-02,0.30765095
1988-08-03,0.3078008
1988-08-04,0.3075098
1988-08-05,0.30748945
1988-08-06,0.3075184
1988-08-07,0.30751157
1988-08-08,0.3072208
1988-08-09,0.3066761
1988-08-10,0.30636165
1988-08-11,0.30731487
1988-08-12,0.30725434
1988-08-13,0.3071916
1988-08-14,0.30719164
1988-08-15,0.30703264
1988-08-16,0.30713
1988-08-17,0.30860338
1988-08-18,0.30876908
1988-08-19,0.3014309
1988-08-20,0.3014309
1988-08-21,0.3014301
1988-08-22,0.30121967
1988-08-23,0.30113578
1988-08-24,0.30121675
1988-08-25,0.3011979
1988-08-26,0.30104762
1988-08-27,0.30104762
1988-08-28,0.30104762
1988-08-29,0.3010273
1988-08-30,0.3010608
1988-08-31,0.30104175
1988-09-01,0.301241
1988-09-02,0.30117592
1988-09-03,0.30117583
1988-09-04,0.30117583
1988-09-05,0.30117583
1988-09-06,0.3011093
1988-09-07,0.30049488
1988-09-08,0.30088773
1988-09-09,0.30096465
1988-09-10,0.30096465
1988-09-11,0.30096465
1988-09-12,0.30092204
1988-09-13,0.30083767
1988-09-14,0.30090082
1988-09-15,0.30094057
1988-09-16,0.30100766
1988-09-17,0.30085447
1988-09-18,0.30085498
1988-09-19,0.30084607
1988-09-20,0.30105412
1988-09-21,0.30097756
1988-09-22,0.30096078
1988-09-23,0.3008892
1988-09-24,0.30089924
1988-09-25,0.30089924
1988-09-26,0.30097336
1988-09-27,0.30103552
1988-09-28,0.30106863
1988-09-29,0.30102915
1988-09-30,0.3010429
1988-10-01,0.30104104
1988-10-02,0.30104104
1988-10-03,0.30100742
1988-10-04,0.30120206
1988-10-05,0.3012453
1988-10-06,0.30116764
1988-10-07,0.30112088
1988-10-08,0.30112088
1988-10-09,0.3011453
1988-10-10,0.30114242
1988-10-11,0.30148387
1988-10-12,0.3015398
1988-10-13,0.3015629
1988-10-14,0.2990382
1988-10-15,0.29904488
1988-10-16,0.29904488
1988-10-17,0.29919237
1988-10-18,0.30052638
1988-10-19,0.29916084
1988-10-20,0.30276182
1988-10-21,0.30388987
1988-10-22,0.3042163
1988-10-23,0.30418116
1988-10-24,0.3031053
1988-10-25,0.30435088
1988-10-26,0.31056997
1988-10-27,0.3159835
1988-10-28,0.31698006
1988-10-29,0.31730857
1988-10-30,0.31731328
1988-10-31,0.31685558
1988-11-01,0.31686738
1988-11-02,0.3172112
1988-11-03,0.31718412
1988-11-04,0.31734133
1988-11-05,0.31734088
1988-11-06,0.31734088
1988-11-07,0.31740582
1988-11-08,0.3173071
1988-11-09,0.317021
1988-11-10,0.31639
1988-11-11,0.3156483
1988-11-12,0.31568417
1988-11-13,0.31568375
1988-11-14,0.32422322
1988-11-15,0.32599455
1988-11-16,0.32531235
1988-11-17,0.33429596
1988-11-18,0.33434463
1988-11-19,0.33434632
1988-11-20,0.3343469
1988-11-21,0.33413553
1988-11-22,0.333508
1988-11-23,0.33337823
1988-11-24,0.33342093
1988-11-25,0.33340213
1988-11-26,0.33339146
1988-11-27,0.33339146
1988-11-28,0.3334705
1988-11-29,0.3334339
1988-11-30,0.33347368
1988-12-01,0.33315963
1988-12-02,0.3331872
1988-12-03,0.3331872
1988-12-04,0.33318412
1988-12-05,0.33328652
1988-12-06,0.33314484
1988-12-07,0.33321914
1988-12-08,0.33330774
1988-12-09,0.33330548
1988-12-10,0.33330548
1988-12-11,0.33330548
1988-12-12,0.33332717
1988-12-13,0.3334798
1988-12-14,0.3334674
1988-12-15,0.333552
1988-12-16,0.33365494
1988-12-17,0.33365494
1988-12-18,0.33365494
1988-12-19,0.33362153
1988-12-20,0.3334578
1988-12-21,0.33374578
1988-12-22,0.3340005
1988-12-23,0.33383143
1988-12-24,0.33383143
1988-12-25,0.33383143
1988-12-26,0.3338313
1988-12-27,0.33382258
1988-12-28,0.3337355
1988-12-29,0.33372825
1988-12-30,0.33372557
1988-12-31,0.33372557
1989-01-01,0.33372557
1989-01-02,0.33372557
1989-01-03,0.3332275
1989-01-04,0.33317745
1989-01-05,0.33316657
1989-01-06,0.3330059
1989-01-07,0.3330059
1989-01-08,0.3330059
1989-01-09,0.3330329
1989-01-10,0.3328137
1989-01-11,0.33259946
1989-01-12,0.33250928
1989-01-13,0.3320975
1989-01-14,0.3320975
1989-01-15,0.3320975
1989-01-16,0.33133504
1989-01-17,0.33151045
1989-01-18,0.3310805
1989-01-19,0.32303768
1989-01-20,0.32305822
1989-01-21,0.32307523
1989-01-22,0.32307485
1989-01-23,0.32387036
1989-01-24,0.32189074
1989-01-25,0.3217994
1989-01-26,0.32464153
1989-01-27,0.3239683
1989-01-28,0.32416633
1989-01-29,0.32416633
1989-01-30,0.32398775
1989-01-31,0.32407022
1989-02-01,0.32398543
1989-02-02,0.32233727
1989-02-03,0.31970933
1989-02-04,0.31978875
1989-02-05,0.31978875
1989-02-06,0.31927416
1989-02-07,0.31957504
1989-02-08,0.32111403
1989-02-09,0.32044506
1989-02-10,0.32180077
1989-02-11,0.32182482
1989-02-12,0.32182482
1989-02-13,0.32215637
1989-02-14,0.31948254
1989-02-15,0.3188094
1989-02-16,0.30568114
1989-02-17,0.30523735
1989-02-18,0.30523783
1989-02-19,0.30523783
1989-02-20,0.30524984
1989-02-21,0.30638275
1989-02-22,0.30592185
1989-02-23,0.30613747
1989-02-24,0.30637366
1989-02-25,0.3064776
1989-02-26,0.30647945
1989-02-27,0.3064536
1989-02-28,0.306634
1989-03-01,0.3065714
1989-03-02,0.30513874
1989-03-03,0.31410336
1989-03-04,0.3141226
1989-03-05,0.31412536
1989-03-06,0.31413242
1989-03-07,0.31403548
1989-03-08,0.31396687
1989-03-09,0.31228194
1989-03-10,0.3112313
1989-03-11,0.31124383
1989-03-12,0.31124383
1989-03-13,0.31105012
1989-03-14,0.31007212
1989-03-15,0.30813593
1989-03-16,0.30818826
1989-03-17,0.30808845
1989-03-18,0.3080926
1989-03-19,0.3080926
1989-03-20,0.30810785
1989-03-21,0.30812222
1989-03-22,0.30819073
1989-03-23,0.30827472
1989-03-24,0.30816835
1989-03-25,0.3081729
1989-03-26,0.308192
1989-03-27,0.30813405
1989-03-28,0.30802855
1989-03-29,0.30880678
1989-03-30,0.30924553
1989-03-31,0.3089209
1989-04-01,0.3089553
1989-04-02,0.3089542
1989-04-03,0.3088941
1989-04-04,0.3094822
1989-04-05,0.3095336
1989-04-06,0.30935228
1989-04-07,0.30931497
1989-04-08,0.30931497
1989-04-09,0.30932045
1989-04-10,0.30918032
1989-04-11,0.30870974
1989-04-12,0.3099143
1989-04-13,0.31159592
1989-04-14,0.32124573
1989-04-15,0.32124573
1989-04-16,0.32156494
1989-04-17,0.32273796
1989-04-18,0.32279763
1989-04-19,0.3247076
1989-04-20,0.32752472
1989-04-21,0.3265272
1989-04-22,0.32653272
1989-04-23,0.3265333
1989-04-24,0.3291673
1989-04-25,0.33020166
1989-04-26,0.33335942
